post_id,title,category,score,num_comments,author,Collected_at,engagement,is_popular
47660954,"Germany Doxes ""UNKN,"" Head of RU Ransomware Gangs REvil, GandCrab",worldnews,33,6,Bender,2026-04-06 20:26:10,0.17647058823529413,False
47660853,Book Review: There Is No Antimemetics Division,entertainment,11,4,ibobev,2026-04-06 20:26:12,0.3333333333333333,False
47661065,"The Team Behind a Pro-Iran, Lego-Themed Viral-Video Campaign",technology,17,5,tantalor,2026-04-06 20:26:13,0.2777777777777778,False
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,703,102,armanified,2026-04-06 20:26:15,0.14488636363636365,True
47658146,France pulls last gold held in US for $15B gain,technology,391,224,teleforce,2026-04-06 20:26:16,0.5714285714285714,True
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,201,129,keepamovin,2026-04-06 20:26:26,0.6386138613861386,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,186,14,karimf,2026-04-06 20:26:28,0.0748663101604278,False
47637377,LÖVE: 2D Game Framework for Lua,sports,360,178,cl3misch,2026-04-06 20:26:29,0.4930747922437673,True
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,86,29,stevebmark,2026-04-06 20:26:30,0.3333333333333333,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,335,82,vbtechguy,2026-04-06 20:26:33,0.24404761904761904,True
47661231,When Virality Is the Message: The New Age of AI Propaganda,technology,15,7,virgildotcodes,2026-04-06 20:26:35,0.4375,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,115,18,ikessler,2026-04-06 20:26:36,0.15517241379310345,False
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,99,44,salt4034,2026-04-06 20:26:38,0.44,False
47655392,Show HN: I made a YouTube search form with advanced filters,entertainment,278,173,nevernothing,2026-04-06 20:26:39,0.6200716845878136,True
47652322,Music for Programming,entertainment,265,125,merusame,2026-04-06 20:26:40,0.4699248120300752,True
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,341,201,thisislife2,2026-04-06 20:26:47,0.5877192982456141,True
47655268,"Show HN: Modo – I built an open-source alternative to Kiro, Cursor, and Windsurf",entertainment,79,17,mohshomis,2026-04-06 20:26:48,0.2125,False
47650312,A tail-call interpreter in (nightly) Rust,technology,182,43,g0xA52A2A,2026-04-06 20:26:49,0.23497267759562843,False
47648828,"Eight years of wanting, three months of building with AI",technology,853,271,brilee,2026-04-06 20:26:51,0.31733021077283374,True
47650502,Computational Physics (2nd Edition) (2025),science,164,20,teleforce,2026-04-06 20:26:53,0.12121212121212122,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,195,26,desideratum,2026-04-06 20:26:59,0.1326530612244898,False
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,184,51,MoltenMonster,2026-04-06 20:27:01,0.2756756756756757,False
47647788,The threat is comfortable drift toward not understanding what you're doing,worldnews,902,588,zaikunzhang,2026-04-06 20:27:09,0.6511627906976745,True
47640728,Show HN: A game where you build a GPU,technology,925,180,Jaso1024,2026-04-06 20:27:12,0.19438444924406048,True
47656335,Does coding with LLMs mean more microservices?,technology,53,55,jer0me,2026-04-06 20:27:17,1.0185185185185186,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,515,232,naves,2026-04-06 20:27:23,0.4496124031007752,True
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,185,124,1vuio0pswjnm7,2026-04-06 20:27:26,0.6666666666666666,False
47658388,NIMBY Rails,technology,29,3,altilunium,2026-04-06 20:27:27,0.1,False
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,74,9,lexalizer,2026-04-06 20:27:28,0.12,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,37,0,everbody,2026-04-06 20:27:29,0.0,False
